# experiment=tree_reuse engine=helix-f3270d5 date=20260808-144106
# games=tests/data/thesis-games.txt budget_ms=500 mode=keep game_count=30
game_id,ply,side,mode,completed_depth,seldepth,nodes,qnodes,researches,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,played_move
0,0,w,keep,8,21,776870,418051,35,193726,31254,54047,840,0.1613,458,e2e4,c2c4
0,1,b,keep,8,21,622000,335193,4,147163,19198,41760,1954,0.1305,362,b8c6,g8f6
0,2,w,keep,8,21,673813,373339,32,172009,27489,41842,2780,0.1598,417,g1f3,b1c3
0,3,b,keep,8,23,629706,348818,51,155426,26359,37816,2972,0.1696,382,e7e5,e7e5
0,4,w,keep,8,29,655360,402033,9,193413,14328,36864,4379,0.0741,474,g1f3,g1f3
0,5,b,keep,7,22,659456,409943,2,195073,19218,34904,4146,0.0985,475,b8c6,b8c6
0,6,w,keep,7,24,744448,453829,36,163007,9812,29983,4425,0.0602,474,e2e3,g2g3
0,7,b,keep,6,23,694272,415514,35,182564,17816,34539,4954,0.0976,475,f8b4,d7d5
0,8,w,keep,7,20,864256,490851,14,141789,13507,32689,5141,0.0953,475,c4d5,c4d5
0,9,b,keep,7,23,608256,391892,14,184356,15237,33945,6011,0.0826,474,f6d5,f6d5
0,10,w,keep,6,24,451584,355250,2,193541,7374,20482,4038,0.0381,475,f1g2,e2e4
0,11,b,keep,6,21,891904,500843,37,136242,16491,30027,5441,0.1210,474,d5c3,d5f6
0,12,w,keep,6,23,705536,434204,30,162404,13981,26820,5242,0.0861,475,d2d3,f1b5
0,13,b,keep,6,24,557056,385422,14,176923,12356,23492,4925,0.0698,475,c8g4,f8b4
0,14,w,keep,6,20,666624,403572,18,140479,11869,26150,5618,0.0845,475,f3e5,f3e5
0,15,b,keep,6,20,456704,317941,1,161358,6006,22972,6478,0.0372,474,d8d6,b4c3
0,16,w,keep,7,18,668672,405257,42,134235,14933,30340,6820,0.1112,476,e5c6,e5c6
0,17,b,keep,8,19,570204,347222,0,138245,18463,34126,9268,0.1336,423,d8d7,b7c6
0,18,w,keep,8,21,638976,399080,4,161058,16025,35458,10731,0.0995,476,b5c6,b5c6
0,19,b,keep,8,18,871424,477456,16,125209,18127,34346,9541,0.1448,475,c8d7,c8d7
0,20,w,keep,8,18,688128,402253,8,162125,13212,40508,13624,0.0815,475,c6a8,c6a8
0,21,b,keep,7,19,545792,372874,1,179077,15005,33772,11728,0.0838,476,d8a8,c3a5
0,22,w,keep,7,19,663552,387641,41,174430,22076,40420,12505,0.1266,475,a8b7,a8b7
0,23,b,keep,6,19,719872,391768,17,168330,29996,41054,14009,0.1782,474,c7c6,d7b5
0,24,w,keep,7,19,699392,399868,27,152450,14849,40006,15069,0.0974,475,a2a4,d1b3
0,25,b,keep,6,20,727040,411132,26,134533,19884,34368,11112,0.1478,474,d8d7,c7c6
0,26,w,keep,8,19,704601,394465,12,129349,23164,36779,13256,0.1791,431,a2a4,a2a4
0,27,b,keep,8,19,530500,338312,11,163568,28336,43781,19378,0.1732,440,b5d3,f6e4
0,28,w,keep,6,19,569344,395507,22,170962,16091,27582,9706,0.0941,475,a4b5,a4b5
0,29,b,keep,6,21,759808,485745,24,166583,17016,31673,10613,0.1021,474,e8g8,e8g8
0,30,w,keep,6,20,799744,511371,5,180776,17890,40179,16053,0.0990,474,e1g1,e1g1
0,31,b,keep,6,21,958464,584101,12,165941,16785,32619,11919,0.1012,475,a5b6,e4c5
0,32,w,keep,7,17,999424,563790,16,166960,23897,44573,18451,0.1431,474,b3a3,b3a3
0,33,b,keep,7,19,890880,516454,6,186320,24944,44771,21222,0.1339,474,a5b6,a5b6
0,34,w,keep,8,18,822272,503850,28,197341,21508,41998,20169,0.1090,475,b7c6,b7c6
0,35,b,keep,7,20,776192,477821,77,203039,15926,38929,18418,0.0784,475,c5d3,c5d3
0,36,w,keep,7,19,788480,475485,74,207850,24209,48368,23879,0.1165,475,c6e4,c6e4
0,37,b,keep,7,20,699392,447598,0,222324,26766,44764,24626,0.1204,476,d3c5,d3f2
0,38,w,keep,7,17,711680,415014,23,179349,26965,43650,20022,0.1503,474,f1f2,f1f2
0,39,b,keep,7,18,698368,407441,1,176926,19849,37976,18831,0.1122,475,f8e8,g7g5
0,40,w,keep,7,17,617712,367949,38,140694,14466,28822,14294,0.1028,401,a3f3,a3f3
0,41,b,keep,6,17,858112,471571,15,161729,19706,53310,29280,0.1218,474,d8d4,g5g4
0,42,w,keep,8,16,760832,427244,38,171321,34202,44912,23182,0.1996,474,f3g4,f3g4
0,43,b,keep,9,18,739328,417581,27,190395,32491,52998,30873,0.1707,475,g8h8,g8h8
0,44,w,keep,8,19,1024000,538781,0,118577,19022,35231,18686,0.1604,474,g4f5,g4f5
0,45,b,keep,8,16,791552,438377,4,178984,23171,59721,35952,0.1295,476,b6f2,b6f2
1,0,w,keep,8,21,776870,418051,35,193726,31254,54047,840,0.1613,459,e2e4,c2c4
1,1,b,keep,8,21,622000,335193,4,147163,19198,41760,1954,0.1305,362,b8c6,g8f6
1,2,w,keep,8,21,673813,373339,32,172009,27489,41842,2780,0.1598,412,g1f3,b1c3
1,3,b,keep,8,23,629706,348818,51,155426,26359,37816,2972,0.1696,386,e7e5,e7e5
1,4,w,keep,8,29,654336,401069,9,192773,14326,36839,4372,0.0743,475,g1f3,g1f3
1,5,b,keep,7,22,665600,414448,2,198698,19596,35508,4198,0.0986,475,b8c6,b8c6
1,6,w,keep,7,24,735232,447651,33,160384,9614,29723,4403,0.0599,474,e2e3,g2g3
1,7,b,keep,6,23,691200,413799,35,182004,17799,34401,4935,0.0978,474,f8b4,d7d5
1,8,w,keep,7,20,869376,494942,14,144663,13633,32983,5207,0.0942,474,c4d5,d1a4
1,9,b,keep,7,19,645159,390099,20,119969,13948,25256,3926,0.1163,400,d5d4,d5d4
1,10,w,keep,7,21,632365,372664,1,119904,10425,26687,5036,0.0869,386,c3b1,f3e5
1,11,b,keep,7,21,815104,468914,10,133560,22549,37310,6494,0.1688,474,d4c3,d4c3
1,12,w,keep,7,20,774144,459404,1,136389,13972,32214,7443,0.1024,475,d2c3,e5c6
1,13,b,keep,7,21,619520,379688,4,156658,19064,38075,9492,0.1217,474,c3d2,c3d2
1,14,w,keep,8,20,718848,412386,5,141288,15786,35356,9022,0.1117,476,c1d2,c1d2
1,15,b,keep,7,22,418816,322003,0,179841,10913,26340,8053,0.0607,475,b7c6,b7c6
1,16,w,keep,8,22,645120,388149,2,174491,20317,34643,10152,0.1164,474,f1g2,d2a5
1,17,b,keep,6,18,737280,417591,2,138848,18923,33506,8637,0.1363,475,c8d7,c8d7
1,18,w,keep,7,22,696320,417648,5,159785,14828,31120,8777,0.0928,475,f1g2,a1d1
1,19,b,keep,6,19,590848,392736,16,180118,17587,29330,8306,0.0976,475,a8b8,c6c5
1,20,w,keep,7,20,729088,447810,22,164528,15699,29593,8567,0.0954,474,a4c2,a4b3
1,21,b,keep,6,20,650240,411595,1,169481,14527,30172,10089,0.0857,474,a8b8,a8c8
1,22,w,keep,7,19,762115,437935,37,129433,17865,27204,7755,0.1380,420,f1h3,f1h3
1,23,b,keep,7,21,744448,446749,22,162540,13661,33022,11683,0.0840,474,d8e7,d8e7
1,24,w,keep,8,19,463843,312112,37,186784,18848,33075,13015,0.1009,413,h3d7,h3g2
1,25,b,keep,6,19,587776,385551,82,202506,20993,35318,11913,0.1037,475,c7c6,c7c6
1,26,w,keep,6,23,719872,447003,3,178774,12652,31904,12037,0.0708,474,e1g1,b3b7
1,27,b,keep,6,20,530432,400521,19,199589,10348,23610,9147,0.0518,474,e7e6,e7e6
1,28,w,keep,6,20,569344,404235,27,195909,11885,26577,10799,0.0607,478,h2h4,h2h4
1,29,b,keep,6,22,579584,435302,21,194887,8448,20487,7788,0.0433,475,f6g4,f8d6
1,30,w,keep,6,20,808960,493382,2,147053,10520,27407,11455,0.0715,474,g2h3,g2h3
1,31,b,keep,7,19,800768,470310,4,140879,9566,30346,13531,0.0679,475,e6e7,e6e7
1,32,w,keep,7,19,875534,474965,0,92252,8564,24021,10403,0.0928,389,h3d7,h3d7
1,33,b,keep,8,20,637952,391781,21,197947,23218,39910,18314,0.1173,475,e7d7,e7d7
1,34,w,keep,8,20,838656,459669,6,165385,29784,43319,19089,0.1801,476,b7d7,b7b3
1,35,b,keep,6,18,663552,423415,29,175740,15337,31019,12461,0.0873,476,d7e7,f6e4
1,36,w,keep,6,18,669696,435437,16,169451,13261,26960,11133,0.0783,476,b3e3,f2f3
1,37,b,keep,7,16,769829,417003,22,113869,14177,35332,16223,0.1245,416,e4g3,e4g3
1,38,w,keep,7,19,745472,436573,32,176606,17117,43713,21691,0.0969,475,b3e3,b3e3
1,39,b,keep,8,18,891904,485732,2,155360,23969,49167,22924,0.1543,474,e8f8,e8f8
1,40,w,keep,7,18,546816,364667,0,239130,28272,49701,29016,0.1182,475,h1h2,e3d3
1,41,b,keep,9,19,882840,463582,10,144323,36290,45350,19881,0.2514,442,g3h1,g3h1
