# experiment=time_to_quality engine=helix-f3270d5 date=20260808-032642
# suite=tests/data/stockfish-bench-all.epd nmp=on reps=3 positions=309
fen_id,fen,budget_ms,rep,nmp,bestmove,completed_depth,nodes,time_ms,stop_reason
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,50,0,on,e2a6,3,51200,47,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,50,1,on,e2a6,3,51200,46,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,50,2,on,e2a6,3,51200,47,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,100,0,on,d5e6,4,88795,86,soft_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,100,1,on,d5e6,4,88795,86,soft_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,100,2,on,d5e6,4,88795,85,soft_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,250,0,on,e2a6,5,282934,223,soft_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,250,1,on,e2a6,5,282934,223,soft_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,250,2,on,e2a6,5,282934,222,soft_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,500,0,on,e2a6,5,523264,475,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,500,1,on,e2a6,5,527360,474,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,500,2,on,e2a6,5,527360,474,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,1000,0,on,e2a6,6,1090560,951,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,1000,1,on,e2a6,6,1083392,949,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,1000,2,on,e2a6,6,1099776,951,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,2000,0,on,e2a6,6,2596864,1900,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,2000,1,on,e2a6,6,2631680,1899,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,2000,2,on,e2a6,6,2596864,1900,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,5000,0,on,e2a6,7,5678080,4750,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,5000,1,on,e2a6,7,5612544,4749,hard_time
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,5000,2,on,e2a6,7,5627904,4750,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,10,0,on,b4f4,6,16384,8,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,10,1,on,b4f4,6,16384,9,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,10,2,on,b4f4,6,16384,9,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,25,0,on,b4f4,7,39936,23,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,25,1,on,b4f4,7,39936,23,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,25,2,on,b4f4,7,39936,23,hard_time
2,8/2p5/3p4/KP5r/1R3p1k/8/4P1P1/8 w - - 0 11,50,0,on,b4f4,8,76800,46,hard_time
