# experiment=depth_vs_time engine=helix-f3270d5 date=20260813-150721
# suite=tests/data/stockfish-bench-all.epd pvs=off nmp=on reps=3 positions=309
fen_id,budget_ms,rep,pvs,nmp,completed_depth,seldepth,nodes,qnodes,researches,null_cutoffs,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
2,50,2,off,on,8,13,59624,29845,0,512,20752,4688,6523,10,0.2259,39,b4f4,soft_time
2,100,0,off,on,8,15,172032,85751,0,1156,45821,11312,15473,60,0.2469,94,b4f4,hard_time
2,100,1,off,on,8,15,165888,82646,0,1134,44555,11148,15017,56,0.2502,94,b4f4,hard_time
2,100,2,off,on,8,15,173056,86343,0,1156,46251,11321,15545,60,0.2448,94,b4f4,hard_time
2,250,0,off,on,10,15,367103,181207,0,4307,108288,28260,35306,413,0.2610,210,b4f4,soft_time
2,250,1,off,on,10,15,367103,181207,0,4307,108288,28260,35306,413,0.2610,209,b4f4,soft_time
2,250,2,off,on,10,15,367103,181207,0,4307,108288,28260,35306,413,0.2610,203,b4f4,soft_time
2,500,0,off,on,11,17,677779,334131,0,7495,194040,51934,64185,1315,0.2676,366,b4f4,soft_time
2,500,1,off,on,11,17,677779,334131,0,7495,194040,51934,64185,1315,0.2676,370,b4f4,soft_time
2,500,2,off,on,11,17,677779,334131,0,7495,194040,51934,64185,1315,0.2676,369,b4f4,soft_time
2,1000,0,off,on,12,18,1342367,646291,0,19937,427179,128403,134792,6006,0.3006,806,b4f4,soft_time
2,1000,1,off,on,12,18,1342367,646291,0,19937,427179,128403,134792,6006,0.3006,769,b4f4,soft_time
2,1000,2,off,on,12,18,1342367,646291,0,19937,427179,128403,134792,6006,0.3006,758,b4f4,soft_time
3,10,0,off,on,3,15,13312,10201,0,5,4395,100,358,0,0.0228,9,f5d3,hard_time
3,10,1,off,on,3,15,8401,7022,0,0,3231,40,158,0,0.0124,6,f5d3,soft_time
3,10,2,off,on,3,15,8401,7022,0,0,3231,40,158,0,0.0124,6,f5d3,soft_time
3,25,0,off,on,4,17,28672,23415,0,24,10406,256,1295,1,0.0246,23,f5d3,hard_time
3,25,1,off,on,4,17,28672,23415,0,24,10406,256,1295,1,0.0246,23,f5d3,hard_time
3,25,2,off,on,4,16,27648,22532,0,24,10071,236,1231,1,0.0234,22,f5d3,hard_time
3,50,0,off,on,5,18,52447,38700,0,50,15067,806,2384,1,0.0535,38,f5d3,soft_time
3,50,1,off,on,5,18,52447,38700,0,50,15067,806,2384,1,0.0535,37,f5d3,soft_time
3,50,2,off,on,5,18,52447,38700,0,50,15067,806,2384,1,0.0535,37,f5d3,soft_time
3,100,0,off,on,6,18,145835,91138,0,202,26700,2940,5803,7,0.1101,78,f5d3,soft_time
3,100,1,off,on,6,18,145835,91138,0,202,26700,2940,5803,7,0.1101,79,f5d3,soft_time
3,100,2,off,on,6,18,145835,91138,0,202,26700,2940,5803,7,0.1101,77,f5d3,soft_time
3,250,0,off,on,6,20,370688,259773,0,1198,95944,6957,18788,115,0.0725,236,f5d3,hard_time
3,250,1,off,on,6,20,342016,243422,0,1146,92215,6818,18011,101,0.0739,236,f5d3,hard_time
3,250,2,off,on,6,20,370688,259773,0,1198,95944,6957,18788,115,0.0725,237,f5d3,hard_time
3,500,0,off,on,7,20,896000,552757,0,2090,162131,15441,36391,492,0.0952,474,f5d3,hard_time
3,500,1,off,on,7,20,929792,571052,0,2159,165754,16159,37337,521,0.0975,475,f5d3,hard_time
3,500,2,off,on,7,20,556559,372439,0,1510,131838,8988,25516,263,0.0682,351,f5d3,soft_time
3,1000,0,off,on,8,20,1425784,866932,0,3987,255976,27299,55297,1095,0.1066,768,f5d3,soft_time
3,1000,1,off,on,8,20,1425784,866932,0,3987,255976,27299,55297,1095,0.1066,767,f5d3,soft_time
3,1000,2,off,on,8,20,1425784,866932,0,3987,255976,27299,55297,1095,0.1066,724,f5d3,soft_time
4,10,0,off,on,4,16,14336,9179,0,22,3861,209,941,0,0.0541,8,f7e6,hard_time
4,10,1,off,on,4,16,15360,9876,0,22,4256,249,1090,1,0.0585,9,f7e6,hard_time
4,10,2,off,on,4,16,14336,9179,0,22,3861,209,941,0,0.0541,8,f7e6,hard_time
4,25,0,off,on,5,16,28681,18492,0,46,8339,593,2006,3,0.0711,18,f7e6,soft_time
4,25,1,off,on,5,16,28681,18492,0,46,8339,593,2006,3,0.0711,18,f7e6,soft_time
4,25,2,off,on,5,16,28681,18492,0,46,8339,593,2006,3,0.0711,18,f7e6,soft_time
4,50,0,off,on,5,16,108544,60724,0,78,15167,1688,4042,12,0.1113,47,f7e6,hard_time
4,50,1,off,on,5,16,108544,60724,0,78,15167,1688,4042,12,0.1113,47,f7e6,hard_time
4,50,2,off,on,5,16,108544,60724,0,78,15167,1688,4042,12,0.1113,48,f7e6,hard_time
4,100,0,off,on,5,18,186368,111238,0,107,32582,2215,5772,18,0.0680,95,f7e6,hard_time
4,100,1,off,on,5,18,189440,114001,0,107,34027,2215,5783,18,0.0651,94,f7e6,hard_time
4,100,2,off,on,5,18,190464,114921,0,107,34486,2215,5787,18,0.0642,94,f7e6,hard_time
4,250,0,off,on,6,18,378880,247407,0,1152,99133,5834,16640,123,0.0589,237,f7e6,hard_time
4,250,1,off,on,6,18,368640,240807,0,1152,96748,5834,16349,118,0.0603,236,f7e6,hard_time
4,250,2,off,on,6,18,390144,254758,0,1153,101587,5838,16930,128,0.0575,236,f7e6,hard_time
4,500,0,off,on,7,23,883712,545197,0,2802,190376,14048,35015,491,0.0738,474,f7e6,hard_time
4,500,1,off,on,7,23,880640,542932,0,2799,189241,14044,34896,487,0.0742,474,f7e6,hard_time
4,500,2,off,on,7,23,868352,534266,0,2559,184784,13512,34269,470,0.0731,474,f7e6,hard_time
4,1000,0,off,on,8,23,1473536,950140,0,4214,404215,25675,69122,1958,0.0635,949,f7e6,hard_time
4,1000,1,off,on,8,23,1550336,1003091,0,4985,436423,29180,75273,2287,0.0669,949,f7e6,hard_time
4,1000,2,off,on,8,23,1550336,1003091,0,4985,436423,29180,75273,2287,0.0669,949,f7e6,hard_time
5,10,0,off,on,4,12,11078,7518,0,23,3958,121,537,0,0.0306,7,f4f3,soft_time
5,10,1,off,on,4,12,11078,7518,0,23,3958,121,537,0,0.0306,7,f4f3,soft_time
5,10,2,off,on,4,12,11078,7518,0,23,3958,121,537,0,0.0306,7,f4f3,soft_time
5,25,0,off,on,4,13,30720,20642,0,29,11012,384,1721,0,0.0349,22,f4f3,hard_time
5,25,1,off,on,4,13,33792,22250,0,33,11329,423,1820,0,0.0373,23,f4f3,hard_time
