# experiment=depth_vs_time engine=helix-f3270d5 date=20260808-025921
# suite=tests/data/stockfish-bench-all.epd pvs=on nmp=off reps=3 positions=309
fen_id,budget_ms,rep,pvs,nmp,completed_depth,seldepth,nodes,qnodes,researches,null_cutoffs,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
2,50,2,on,off,7,13,83968,39142,4,0,22436,7328,9264,21,0.3266,46,b4f4,hard_time
2,100,0,on,off,7,15,142336,67123,4,0,54767,16410,19118,110,0.2996,95,b4f4,hard_time
2,100,1,on,off,7,15,142336,67123,4,0,54767,16410,19118,110,0.2996,95,b4f4,hard_time
2,100,2,on,off,7,15,142336,67123,4,0,54767,16410,19118,110,0.2996,95,b4f4,hard_time
2,250,0,on,off,8,16,401408,187374,6,0,122089,41957,46296,618,0.3437,237,b4f4,hard_time
2,250,1,on,off,8,16,402432,187819,6,0,122713,42104,46483,626,0.3431,236,b4f4,hard_time
2,250,2,on,off,8,16,403456,188196,6,0,123363,42270,46727,630,0.3426,237,b4f4,hard_time
2,500,0,on,off,9,18,777216,363700,8,0,247376,83753,91468,2407,0.3386,474,b4f4,hard_time
2,500,1,on,off,9,18,783360,366493,8,0,251368,85227,92586,2481,0.3391,475,b4f4,hard_time
2,500,2,on,off,9,18,782336,365963,8,0,250776,85080,92394,2470,0.3393,474,b4f4,hard_time
2,1000,0,on,off,10,18,1146932,554215,8,0,458044,138810,148931,6820,0.3030,787,b4f4,soft_time
2,1000,1,on,off,10,18,1146932,554215,8,0,458044,138810,148931,6820,0.3030,784,b4f4,soft_time
2,1000,2,on,off,10,18,1146932,554215,8,0,458044,138810,148931,6820,0.3030,787,b4f4,soft_time
3,10,0,on,off,4,12,13866,9033,1,0,3618,512,997,0,0.1415,8,f5d3,soft_time
3,10,1,on,off,3,12,13312,8733,1,0,3345,391,919,0,0.1169,8,f5d3,hard_time
3,10,2,on,off,3,12,13312,8733,1,0,3345,391,919,0,0.1169,8,f5d3,hard_time
3,25,0,on,off,4,17,33792,23465,1,0,8459,978,2541,1,0.1156,23,f5d3,hard_time
3,25,1,on,off,4,17,33792,23465,1,0,8459,978,2541,1,0.1156,23,f5d3,hard_time
3,25,2,on,off,4,17,33792,23465,1,0,8459,978,2541,1,0.1156,23,f5d3,hard_time
3,50,0,on,off,5,17,93184,53194,1,0,12470,2470,4724,4,0.1981,47,f5d3,hard_time
3,50,1,on,off,5,17,93184,53194,1,0,12470,2470,4724,4,0.1981,47,f5d3,hard_time
3,50,2,on,off,5,17,59370,35553,1,0,9968,1922,3654,2,0.1928,34,f5d3,soft_time
3,100,0,on,off,5,18,177152,103271,1,0,29908,5976,10998,38,0.1998,95,f5d3,hard_time
3,100,1,on,off,5,18,176128,102541,1,0,29469,5891,10880,35,0.1999,95,f5d3,hard_time
3,100,2,on,off,5,18,175104,101834,1,0,29088,5772,10768,35,0.1984,94,f5d3,hard_time
3,250,0,on,off,6,20,353280,229729,2,0,92194,17248,28961,310,0.1871,236,f5d3,hard_time
3,250,1,on,off,6,20,353280,229729,2,0,92194,17248,28961,310,0.1871,237,f5d3,hard_time
3,250,2,on,off,6,20,354304,230488,2,0,92504,17316,29069,311,0.1872,236,f5d3,hard_time
3,500,0,on,off,6,20,822272,500088,7,0,166415,34859,53558,1082,0.2095,476,f5d3,hard_time
3,500,1,on,off,6,20,822272,500088,7,0,166415,34859,53558,1082,0.2095,476,f5d3,hard_time
3,500,2,on,off,6,20,823296,500798,7,0,166895,34869,53715,1087,0.2089,475,f5d3,hard_time
3,1000,0,on,off,7,21,1312982,785595,7,0,241458,44152,74206,1992,0.1829,732,f5d3,soft_time
3,1000,1,on,off,7,21,1312982,785595,7,0,241458,44152,74206,1992,0.1829,727,f5d3,soft_time
3,1000,2,on,off,7,21,1312982,785595,7,0,241458,44152,74206,1992,0.1829,725,f5d3,soft_time
4,10,0,on,off,4,12,11382,7237,0,0,2789,334,749,0,0.1198,7,f7e6,soft_time
4,10,1,on,off,4,12,11382,7237,0,0,2789,334,749,0,0.1198,7,f7e6,soft_time
4,10,2,on,off,4,12,11382,7237,0,0,2789,334,749,0,0.1198,6,f7e6,soft_time
4,25,0,on,off,4,15,35840,22127,0,0,9109,938,2682,3,0.1030,23,f7e6,hard_time
4,25,1,on,off,4,15,35840,22127,0,0,9109,938,2682,3,0.1030,23,f7e6,hard_time
4,25,2,on,off,4,15,35840,22127,0,0,9109,938,2682,3,0.1030,22,f7e6,hard_time
4,50,0,on,off,5,15,98304,54074,1,0,14416,2271,5061,16,0.1575,47,f7e6,hard_time
4,50,1,on,off,5,15,100352,55082,1,0,14491,2303,5114,16,0.1589,47,f7e6,hard_time
4,50,2,on,off,5,15,96256,53052,1,0,14323,2242,5008,16,0.1565,46,f7e6,hard_time
4,100,0,on,off,5,16,199680,110605,1,0,28829,4249,9189,47,0.1474,94,f7e6,hard_time
4,100,1,on,off,5,16,198656,109835,1,0,28337,4198,9085,45,0.1481,95,f7e6,hard_time
4,100,2,on,off,5,16,200704,111276,1,0,29355,4416,9284,48,0.1504,95,f7e6,hard_time
4,250,0,on,off,6,20,384000,233193,1,0,98709,18328,27093,309,0.1857,236,f7e6,hard_time
4,250,1,on,off,6,20,386048,234453,1,0,99650,18679,27338,313,0.1874,237,f7e6,hard_time
4,250,2,on,off,6,20,386048,234453,1,0,99650,18679,27338,313,0.1874,237,f7e6,hard_time
4,500,0,on,off,6,20,796672,474673,1,0,203399,44380,56641,1396,0.2182,475,f7e6,hard_time
4,500,1,on,off,6,20,794624,473163,1,0,202743,44358,56583,1394,0.2188,474,f7e6,hard_time
4,500,2,on,off,6,20,791552,471343,1,0,202197,44297,56473,1390,0.2191,474,f7e6,hard_time
4,1000,0,on,off,7,21,2046976,1113537,5,0,315759,81538,97009,3550,0.2582,949,f7e6,hard_time
4,1000,1,on,off,7,21,2037760,1109039,5,0,315386,81334,96783,3533,0.2579,949,f7e6,hard_time
4,1000,2,on,off,7,21,2046976,1113537,5,0,315759,81538,97009,3550,0.2582,949,f7e6,hard_time
5,10,0,on,off,3,13,12288,8259,1,0,4368,104,637,0,0.0238,9,f4f3,hard_time
5,10,1,on,off,3,13,12288,8259,1,0,4368,104,637,0,0.0238,8,f4f3,hard_time
5,10,2,on,off,3,13,12288,8259,1,0,4368,104,637,0,0.0238,8,f4f3,hard_time
5,25,0,on,off,4,14,20282,14585,1,0,8873,374,1143,0,0.0422,17,f4f3,soft_time
5,25,1,on,off,4,14,20282,14585,1,0,8873,374,1143,0,0.0422,17,f4f3,soft_time
5,25,2,on,off,4,14,30720,21135,3,0,11882,547,1665,0,0.0460,23,f4f3,hard_time
5,50,0,on,off,4,17,73728,45144,3,0,19612,1391,3553,1,0.0709,46,f4f3,hard_time
5,50,1,on,off,4,17,75776,46409,3,0,20089,1425,3627,1,0.0709,47,f4f3,hard_time
5,50,2,on,off,4,17,74752,45767,3,0,19783,1409,3573,1,0.0712,47,f4f3,hard_time
5,100,0,on,off,5,18,150528,94297,6,0,39330,2353,6532,10,0.0598,95,f4f3,hard_time
5,100,1,on,off,5,18,150528,94297,6,0,39330,2353,6532,10,0.0598,95,f4f3,hard_time
5,100,2,on,off,5,18,149504,93699,6,0,39119,2345,6503,10,0.0599,94,f4f3,hard_time
5,250,0,on,off,5,18,327680,216550,6,0,110388,7493,19313,138,0.0679,237,f4f3,hard_time
5,250,1,on,off,5,18,327680,216550,6,0,110388,7493,19313,138,0.0679,237,f4f3,hard_time
5,250,2,on,off,5,18,327680,216550,6,0,110388,7493,19313,138,0.0679,237,f4f3,hard_time
5,500,0,on,off,6,22,460629,319189,6,0,174518,11501,29969,345,0.0659,365,f4f3,soft_time
5,500,1,on,off,6,22,460629,319189,6,0,174518,11501,29969,345,0.0659,358,f4f3,soft_time
5,500,2,on,off,6,22,460629,319189,6,0,174518,11501,29969,345,0.0659,358,f4f3,soft_time
5,1000,0,on,off,6,22,1585152,955827,12,0,396702,40384,85559,2787,0.1018,950,f4f3,hard_time
5,1000,1,on,off,6,22,1572864,949383,12,0,394844,39958,85074,2741,0.1012,950,f4f3,hard_time
5,1000,2,on,off,6,22,1587200,956928,12,0,397008,40432,85638,2796,0.1018,950,f4f3,hard_time
6,10,0,on,off,3,14,16384,10670,1,0,3910,204,979,0,0.0522,9,b4b2,hard_time
6,10,1,on,off,3,14,15360,9871,1,0,3512,180,885,0,0.0513,8,b4b2,hard_time
6,10,2,on,off,3,14,15360,9871,1,0,3512,180,885,0,0.0513,9,b4b2,hard_time
6,25,0,on,off,4,14,31168,22610,1,0,9695,565,2108,0,0.0583,22,b4b2,soft_time
6,25,1,on,off,4,14,31168,22610,1,0,9695,565,2108,0,0.0583,21,b4b2,soft_time
6,25,2,on,off,4,14,31168,22610,1,0,9695,565,2108,0,0.0583,22,b4b2,soft_time
6,50,0,on,off,4,14,84992,51698,1,0,17349,1634,4437,7,0.0942,46,b4b2,hard_time
6,50,1,on,off,4,14,84992,51698,1,0,17349,1634,4437,7,0.0942,47,b4b2,hard_time
6,50,2,on,off,4,14,87040,52723,1,0,17450,1670,4487,7,0.0957,47,b4b2,hard_time
6,100,0,on,off,5,14,193528,107691,1,0,23622,3245,6872,13,0.1374,83,b4b2,soft_time
6,100,1,on,off,5,14,193528,107691,1,0,23622,3245,6872,13,0.1374,82,b4b2,soft_time
6,100,2,on,off,5,14,193528,107691,1,0,23622,3245,6872,13,0.1374,83,b4b2,soft_time
6,250,0,on,off,5,19,444416,267912,1,0,88965,12706,22329,152,0.1428,237,b4b2,hard_time
6,250,1,on,off,5,19,444416,267912,1,0,88965,12706,22329,152,0.1428,237,b4b2,hard_time
6,250,2,on,off,5,19,444416,267912,1,0,88965,12706,22329,152,0.1428,236,b4b2,hard_time
6,500,0,on,off,5,19,736256,490205,1,0,210488,29953,45777,770,0.1423,476,b4b2,hard_time
6,500,1,on,off,5,19,734208,488627,1,0,209651,29826,45624,765,0.1423,475,b4b2,hard_time
6,500,2,on,off,5,19,738304,491682,1,0,211470,30159,45942,775,0.1426,474,b4b2,hard_time
6,1000,0,on,off,6,19,1438720,948230,5,0,434985,58987,93224,3607,0.1356,949,b4b2,hard_time
6,1000,1,on,off,6,19,1427456,942704,5,0,434417,58716,92951,3587,0.1352,949,b4b2,hard_time
6,1000,2,on,off,6,19,1431552,944740,5,0,434640,58809,93045,3595,0.1353,949,b4b2,hard_time
7,10,0,on,off,3,12,12288,7966,1,0,3850,358,1003,0,0.0930,9,b5d6,hard_time
7,10,1,on,off,3,12,12288,7966,1,0,3850,358,1003,0,0.0930,9,b5d6,hard_time
7,10,2,on,off,3,12,12288,7966,1,0,3850,358,1003,0,0.0930,9,b5d6,hard_time
7,25,0,on,off,4,14,20237,14000,3,0,7373,533,1690,0,0.0723,17,f4g3,soft_time
7,25,1,on,off,4,14,20237,14000,3,0,7373,533,1690,0,0.0723,18,f4g3,soft_time
7,25,2,on,off,4,14,20237,14000,3,0,7373,533,1690,0,0.0723,17,f4g3,soft_time
7,50,0,on,off,4,14,93184,51663,8,0,13514,1917,4062,2,0.1419,47,f4g3,hard_time
7,50,1,on,off,4,14,93184,51663,8,0,13514,1917,4062,2,0.1419,47,f4g3,hard_time
7,50,2,on,off,4,14,93184,51663,8,0,13514,1917,4062,2,0.1419,47,f4g3,hard_time
