# experiment=depth_vs_time engine=helix-f3270d5 date=20260808-023215
# suite=tests/data/stockfish-bench-all.epd pvs=on nmp=on reps=3 positions=309
fen_id,budget_ms,rep,pvs,nmp,completed_depth,seldepth,nodes,qnodes,researches,null_cutoffs,tt_probes,tt_hits,tt_stores,tt_replaces,tt_hit_rate,time_ms,bestmove,stop_reason
2,50,2,on,on,8,14,54254,26647,6,512,19041,4661,6418,9,0.2448,34,b4f4,soft_time
2,100,0,on,on,8,16,166912,81693,10,1364,45435,12391,16488,86,0.2727,95,b4f4,hard_time
2,100,1,on,on,8,16,163840,80240,10,1351,44957,12220,16243,82,0.2718,95,b4f4,hard_time
2,100,2,on,on,8,16,166912,81693,10,1364,45435,12391,16488,86,0.2727,95,b4f4,hard_time
2,250,0,on,on,10,18,286055,138890,12,4168,91601,26705,30833,302,0.2915,177,b4f4,soft_time
2,250,1,on,on,10,18,286055,138890,12,4168,91601,26705,30833,302,0.2915,177,b4f4,soft_time
2,250,2,on,on,10,18,286055,138890,12,4168,91601,26705,30833,302,0.2915,178,b4f4,soft_time
2,500,0,on,on,11,18,818176,384673,20,11652,241295,85480,80785,2057,0.3543,474,b4f4,hard_time
2,500,1,on,on,11,18,806912,379513,20,11569,239907,84844,79984,2024,0.3537,474,b4f4,hard_time
2,500,2,on,on,11,18,814080,382787,20,11608,240857,85307,80517,2047,0.3542,474,b4f4,hard_time
2,1000,0,on,on,12,19,1569792,751237,25,25620,507672,176053,156797,7695,0.3468,949,b4f4,hard_time
2,1000,1,on,on,12,19,1572864,752569,25,25674,508178,176394,156995,7719,0.3471,949,b4f4,hard_time
2,1000,2,on,on,12,19,1568768,750687,25,25599,507257,175990,156699,7684,0.3469,950,b4f4,hard_time
3,10,0,on,on,3,13,12288,8749,1,22,3236,144,507,0,0.0445,8,f5d3,hard_time
3,10,1,on,on,3,13,12288,8749,1,22,3236,144,507,0,0.0445,8,f5d3,hard_time
3,10,2,on,on,4,13,12794,9141,1,24,3430,159,561,0,0.0464,8,f5d3,soft_time
3,25,0,on,on,4,17,31744,23424,1,31,8497,560,1973,1,0.0659,23,f5d3,hard_time
3,25,1,on,on,4,17,31744,23424,1,31,8497,560,1973,1,0.0659,23,f5d3,hard_time
3,25,2,on,on,4,17,29696,22224,1,26,8057,487,1834,1,0.0604,22,f5d3,hard_time
3,50,0,on,on,5,17,92160,55451,1,50,13384,1620,3858,3,0.1210,47,f5d3,hard_time
3,50,1,on,on,5,17,88064,53228,1,50,13036,1541,3748,3,0.1182,47,f5d3,hard_time
3,50,2,on,on,5,17,92160,55451,1,50,13384,1620,3858,3,0.1210,47,f5d3,hard_time
3,100,0,on,on,6,18,140880,85548,1,202,21885,2940,5808,7,0.1343,73,f5d3,soft_time
3,100,1,on,on,6,18,140880,85548,1,202,21885,2940,5808,7,0.1343,74,f5d3,soft_time
3,100,2,on,on,6,18,140880,85548,1,202,21885,2940,5808,7,0.1343,74,f5d3,soft_time
3,250,0,on,on,6,19,385024,248119,7,1327,80818,7887,20712,144,0.0976,236,f5d3,hard_time
3,250,1,on,on,6,19,389120,251028,7,1353,82078,7918,20850,145,0.0965,237,f5d3,hard_time
3,250,2,on,on,6,19,384000,247614,7,1327,80744,7887,20665,144,0.0977,237,f5d3,hard_time
3,500,0,on,on,7,19,990208,566270,8,2509,131040,19492,40062,531,0.1487,474,f5d3,hard_time
3,500,1,on,on,7,19,995328,568828,8,2511,131287,19586,40229,533,0.1492,474,f5d3,hard_time
3,500,2,on,on,7,19,995328,568828,8,2511,131287,19586,40229,533,0.1492,475,f5d3,hard_time
3,1000,0,on,on,8,20,1611776,1008180,13,7812,327637,41559,83138,2535,0.1268,949,f5d3,hard_time
3,1000,1,on,on,8,20,1610752,1007463,13,7782,327242,41511,83023,2530,0.1269,950,f5d3,hard_time
3,1000,2,on,on,8,20,1623040,1016500,13,7949,331133,42185,83951,2586,0.1274,949,f5d3,hard_time
4,10,0,on,on,4,14,15360,9248,0,23,3925,376,1364,1,0.0958,9,f7e6,hard_time
4,10,1,on,on,4,14,15360,9248,0,23,3925,376,1364,1,0.0958,9,f7e6,hard_time
4,10,2,on,on,4,14,15360,9248,0,23,3925,376,1364,1,0.0958,9,f7e6,hard_time
4,25,0,on,on,5,14,47104,26646,1,74,8069,889,2582,9,0.1102,23,f7e6,hard_time
4,25,1,on,on,5,14,43008,24571,1,73,7860,836,2483,7,0.1064,22,f7e6,hard_time
4,25,2,on,on,5,14,44032,25098,1,73,7918,847,2505,9,0.1070,22,f7e6,hard_time
4,50,0,on,on,5,16,104448,57315,1,79,13968,1669,4244,11,0.1195,47,f7e6,hard_time
4,50,1,on,on,5,16,102400,56265,1,79,13835,1669,4180,11,0.1206,46,f7e6,hard_time
4,50,2,on,on,5,16,102400,56265,1,79,13835,1669,4180,11,0.1206,47,f7e6,hard_time
4,100,0,on,on,6,16,186368,105415,1,861,32928,3745,9210,42,0.1137,95,f7e6,hard_time
4,100,1,on,on,6,16,184320,103810,1,858,31976,3730,9008,42,0.1166,94,f7e6,hard_time
4,100,2,on,on,6,16,185344,104562,1,859,32376,3738,9132,42,0.1155,95,f7e6,hard_time
4,250,0,on,on,7,19,294330,177225,1,1255,67936,5919,17052,122,0.0871,177,f7e6,soft_time
4,250,1,on,on,7,19,294330,177225,1,1255,67936,5919,17052,122,0.0871,177,f7e6,soft_time
4,250,2,on,on,7,19,294330,177225,1,1255,67936,5919,17052,122,0.0871,177,f7e6,soft_time
4,500,0,on,on,8,22,816310,484806,3,3041,158598,15477,35791,471,0.0976,452,f7e6,soft_time
4,500,1,on,on,8,22,816310,484806,3,3041,158598,15477,35791,471,0.0976,448,f7e6,soft_time
4,500,2,on,on,8,22,816310,484806,3,3041,158598,15477,35791,471,0.0976,448,f7e6,soft_time
4,1000,0,on,on,8,24,1479680,925607,6,6740,408056,39162,89358,3148,0.0960,949,f7e6,hard_time
4,1000,1,on,on,8,24,1474560,923071,6,6722,406919,38721,88961,3115,0.0952,949,f7e6,hard_time
4,1000,2,on,on,8,24,1479680,925607,6,6740,408056,39162,89358,3148,0.0960,950,f7e6,hard_time
5,10,0,on,on,4,13,14336,9201,1,23,4625,180,815,0,0.0389,9,f4f3,hard_time
5,10,1,on,on,4,11,10001,6440,1,23,3122,122,512,0,0.0391,6,f4f3,soft_time
5,10,2,on,on,4,11,10001,6440,1,23,3122,122,512,0,0.0391,6,f4f3,soft_time
5,25,0,on,on,4,13,38912,23981,3,43,11025,599,2169,0,0.0543,24,f4f3,hard_time
5,25,1,on,on,4,13,34816,21454,3,34,9762,547,1928,0,0.0560,22,f4f3,hard_time
5,25,2,on,on,4,13,36864,22553,3,41,9996,584,1981,0,0.0584,22,f4f3,hard_time
5,50,0,on,on,5,18,74752,46989,6,71,20102,978,3671,0,0.0487,48,f4f3,hard_time
5,50,1,on,on,5,18,71680,45285,6,71,19677,953,3586,0,0.0484,46,f4f3,hard_time
5,50,2,on,on,5,18,74752,46989,6,71,20102,978,3671,0,0.0487,47,f4f3,hard_time
