# experiment=time_to_quality engine=helix-f3270d5 date=20260808-053245
# suite=tests/data/stockfish-bench-all.epd nmp=off reps=3 positions=309
# scored with stockfish depth=20
fen_id,fen,budget_ms,rep,nmp,bestmove,completed_depth,nodes,time_ms,stop_reason,sf_best,sf_eval_best,sf_eval_played,cpl,agreement
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,10,2,off,e2a6,3,12288,8,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,25,0,off,e2a6,3,28672,23,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,25,1,off,e2a6,3,28672,22,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,25,2,off,e2a6,3,29696,23,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,50,0,off,e2a6,3,51200,46,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,50,1,off,e2a6,3,52224,47,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,50,2,off,e2a6,3,52224,46,hard_time,d5e6,-183,-221,38,0
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,100,0,off,d5e6,4,88432,85,soft_time,d5e6,-183,-183,0,1
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,100,1,off,d5e6,4,88432,85,soft_time,d5e6,-183,-183,0,1
1,r3k2r/p1ppqpb1/bn2pnp1/3PN3/1p2P3/2N2Q1p/PPPBBPPP/R3K2R w KQkq - 0 10,100,2,off,d5e6,4,88432,85,soft_time,d5e6,-183,-183,0,1
